Italian,Pronunciation,French,Unnamed: 3,English
mai,https://www.google.com/search?q=pronunciation+Italian+mai,jamais,https://www.google.com/search?q=pronunciation+french+jamais,never
"anche, pure","https://www.google.com/search?q=pronunciation+Italian+anche, pure",aussi,https://www.google.com/search?q=pronunciation+french+aussi,too
vedere,https://www.google.com/search?q=pronunciation+Italian+vedere,voir,https://www.google.com/search?q=pronunciation+french+voir,see
cosa,https://www.google.com/search?q=pronunciation+Italian+cosa,chose,https://www.google.com/search?q=pronunciation+french+chose,thing
Dai,https://www.google.com/search?q=pronunciation+Italian+Dai,allez,https://www.google.com/search?q=pronunciation+french+allez,come on
tutti,https://www.google.com/search?q=pronunciation+Italian+tutti,tous,https://www.google.com/search?q=pronunciation+french+tous,all
di loro,https://www.google.com/search?q=pronunciation+Italian+di loro,deux,https://www.google.com/search?q=pronunciation+french+deux,of them
queste,https://www.google.com/search?q=pronunciation+Italian+queste,ces,https://www.google.com/search?q=pronunciation+french+ces,these
dovrebbe,https://www.google.com/search?q=pronunciation+Italian+dovrebbe,faut,https://www.google.com/search?q=pronunciation+french+faut,should
suo,https://www.google.com/search?q=pronunciation+Italian+suo,sa,https://www.google.com/search?q=pronunciation+french+sa,her
sono,https://www.google.com/search?q=pronunciation+Italian+sono,êtes,https://www.google.com/search?q=pronunciation+french+êtes,are
estate,https://www.google.com/search?q=pronunciation+Italian+estate,été,https://www.google.com/search?q=pronunciation+french+été,summer
tuo,https://www.google.com/search?q=pronunciation+Italian+tuo,ta,https://www.google.com/search?q=pronunciation+french+ta,your
